"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)","Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)","Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)","Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)"
357045034501999_695259414013891,https://www.facebook.com/weareotv/posts/695259414013891,"Thank you @mahinsays and The Scout for putting Brown Girls on your list and among excellent company including The North Pole, The Fob and I, The Pineapple Diaries and more!",Link,,,"09/28/2017 11:03:48 AM"," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,24,2,,,,
357045034501999_695257114014121,https://www.facebook.com/weareotv/posts/695257114014121,"Our founder and head of development Aymar Jean Christian graces the cover of Newcity's Film 50 issue, debuting at 31 and interviewing with Ray Pride for a feature story!

https://newcityfilm.com/2017/09/27/film-leader-of-the-moment-aymar-jean-christian",Photo,,,"09/28/2017 10:55:26 AM"," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,14,1,,,,
357045034501999_694672084072624,https://www.facebook.com/weareotv/posts/694672084072624,"Tonight: Streamy Awards featuring Brown Girls!",SharedVideo,,,"09/26/2017 06:23:51 PM"," ",959,631,0,1782,1146,0,96,81,117,1,1,1261,623,0,0,92,0,0,0,0,225,244,0,0,0,70782,29,,29,,81,117,1,1
357045034501999_692110330995466,https://www.facebook.com/weareotv/posts/692110330995466,"Tonight! Watch the #Streamys LIVE on Twitter to see Sam Bailey and Fatimah Asghar, the team behind Brown Girls, compete for Best Drama Series and Best Indie Series!

8:30PM Central / 9:30PM Eastern / 6:30PM Pacific

#opentvoriginals #browngirlstv #streamyawards",Link,,,"09/26/2017 06:00:00 AM"," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,,,,,
357045034501999_692755954264237,https://www.facebook.com/weareotv/posts/692755954264237,"Into covers Open TV - beta! Thank you Nico Maupin Lang for talking to our artists about how we are helping them develop their shows, including: Brown Girls's Fatimah Asghar, Quare Life Web Series's M Shelly Conner and #TheTTV's Bea Cordelia Sullivan-Knoff.

&quot;The network hopes to address those issues by creating space for communities that are historically underrepresented. Every single one of its shows feature protagonists that are queer, transgender, or people of color.&quot;",Link,,,"09/21/2017 10:57:08 AM"," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,21,,,,,
357045034501999_689624607910705,https://www.facebook.com/weareotv/posts/689624607910705,"Thank you News India Times for this great coverage of Geeta's Guide To Moving On! 

Watch the first three episodes of #GeetasGuide now: http://www.weareopen.tv/open-tv-originals//geetas-guide-to-moving-on",Link,,,"09/13/2017 10:08:12 AM"," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,
357045034501999_687528721453627,https://www.facebook.com/weareotv/posts/687528721453627,"If you missed #195Lewis, this year's dopest series by and about black queer women in Brooklyn, when we exclusively previewed it in April, now's your chance! This series is amazing and NOT ONLINE YET. Plus you can watch select episodes of #BrownGirlsTV with fam too! Thanks Reeling Film Fest for organizing this! #opentvoriginals",Link,,,"09/08/2017 10:02:19 AM"," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,,,,,
357045034501999_686855011520998,https://www.facebook.com/weareotv/posts/686855011520998,"Join Affinity Community Services for a preview screening of the new comedy web series Quare Life Web Series and an open Q &amp; A with series creator M Shelly Conner on September 12th at 7:00 at Affinity!",Link,,,"09/06/2017 04:32:56 PM"," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10,1,,,,
357045034501999_685421868330979,https://www.facebook.com/weareotv/posts/685421868330979,"Founder Aymar Jean Christian talks to Louisville Public Radio's Strange Fruit show about how we're making TV in Chicago and the past &amp; future of black TV!",Link,,,"09/03/2017 01:20:27 AM"," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19,,,,,
