"plays","downloads","loads","finishes","code","name","latitude","longitude","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
25,0,331,4,US,"United States",39.7837304,-100.4458825,0,68,354,8855,16362,0
1,0,5,0,PK,Pakistan,30.3308401,71.247499,0,28,30,30,107,0
1,0,15,0,GB,"United Kingdom",54.7023545,-3.2765753,0,84,195,195,230,0
0,0,1,0,A1,"Anonymous Proxy",0,0,0,0,0,0,0,0
0,0,1,0,FR,France,46.603354,1.8883335,0,0,0,0,0,0
0,0,4,0,NL,Netherlands,52.5001698,5.7480821,0,0,0,0,0,0
0,0,3,0,KR,"Republic of Korea",35.3985008,127.937111,0,0,0,0,0,0
0,0,5,0,IE,Ireland,52.865196,-7.9794599,0,0,0,0,0,0
0,1,0,0,RU,Russia,64.6863136,97.7453061,0,0,0,0,0,0
0,0,1,0,DE,Germany,51.0834196,10.4234469,0,0,0,0,0,0
0,0,10,0,CA,Canada,61.0666922,-107.9917071,0,0,0,0,0,0
"
",,,,,,,,,,,,,
